op,target,rounds,iterations,mean_s,min_s,max_s,median_s,stddev_s
parse,dwyl_english,5,1,0.9051878600148484,0.7299706001067534,1.1367482000496238,0.8300051999976858,0.18577939028991364
query,cat,956,1,0.001350270083615416,0.0005420999368652701,0.007126200012862682,0.0012819000403396785,0.0007223079889919794
query,stop,107,1,0.0026201859680134976,0.002338999998755753,0.003427300020121038,0.00257939996663481,0.00020858220187342002
query,apple,124,1,0.007325486295045384,0.006601499975658953,0.009656199952587485,0.007239300000946969,0.00042852155830189344
query,listen,54,1,0.017538494436949905,0.01565149996895343,0.019583299988880754,0.017550049989949912,0.0008647356001762682
query,roaster,29,1,0.048154948275247265,0.03128709993325174,0.10748550004791468,0.032969399937428534,0.027154338937599807
query,creative,20,1,0.05017411500448361,0.04752680007368326,0.05510980007238686,0.05036380002275109,0.0020407509906954996
query,algorithms,17,1,0.060670117649030596,0.05803880002349615,0.0640327000292018,0.06083440000656992,0.0014318957422441152
